City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Ketchikan,US,55.3422,-131.6461,41.2,86,100,11.97,light rain
118,Khandyga,RU,62.6667,135.6,12.9,85,35,4.29,scattered clouds
119,Mehamn,NO,71.0357,27.8492,25.57,79,100,7.34,light snow
120,Beringovskiy,RU,63.05,179.3167,26.74,95,100,12.24,snow
121,Kieta,PG,-6.2167,155.6333,77.77,91,100,4.18,light rain
122,Srebrenica,BA,44.1064,19.2969,48.09,86,100,3.83,light rain
123,Santa Maria,BR,-29.6842,-53.8069,53.37,78,0,5.66,clear sky
124,Carutapera,BR,-1.195,-46.02,74.73,94,100,5.01,overcast clouds
125,Auki,SB,-8.7676,160.7034,81.75,78,80,7.11,light rain
126,Viedma,AR,-40.8135,-62.9967,62.64,33,54,19.22,broken clouds
127,Leningradskiy,RU,69.3833,178.4167,3.25,88,100,8.75,overcast clouds
128,Naryan-Mar,RU,67.6713,53.087,7.66,91,54,9.66,broken clouds
129,Bengkulu,ID,-3.8004,102.2655,79.72,73,19,2.57,few clouds
130,Wanning,CN,18.8003,110.3967,64.45,94,100,21.14,overcast clouds
131,Grand-Santi,GF,4.25,-54.3833,73.11,99,100,2.21,overcast clouds
132,Dingle,PH,10.9995,122.6711,82.6,63,65,15.61,broken clouds
133,Pisco,PE,-13.7,-76.2167,68.05,73,0,16.11,clear sky
134,Norman Wells,CA,65.282,-126.8329,0.37,79,95,2.06,overcast clouds
135,San Pedro,PH,14.35,121.0167,85.32,67,99,16.13,overcast clouds
136,Erenhot,CN,43.6475,111.9767,39.54,27,6,11.16,clear sky
137,Butaritari,KI,3.0707,172.7902,82.26,72,12,21.59,few clouds
138,Sal Rei,CV,16.1833,-22.9167,69.12,80,6,13.56,clear sky
139,Daru,PG,-9.0763,143.2092,82.74,72,100,3.38,overcast clouds
140,Moussoro,TD,13.6408,16.4901,80.73,9,15,9.66,few clouds
141,Hami,CN,42.8,93.45,51.84,19,1,5.21,clear sky
142,Safaga,EG,26.7292,33.9365,77.05,32,5,7.99,clear sky
143,Matagami,CA,49.7502,-77.6328,15.62,89,31,8.01,scattered clouds
144,Buriti Alegre,BR,-18.14,-49.0403,66.65,88,86,2.91,overcast clouds
145,Beyneu,KZ,45.3167,55.2,52.63,50,33,7.99,scattered clouds
146,Vestmannaeyjar,IS,63.4427,-20.2734,43.5,77,100,4.68,overcast clouds
147,Hualmay,PE,-11.0964,-77.6139,69.31,84,96,9.33,overcast clouds
148,Nicoya,CR,10.1483,-85.452,82.04,68,100,2.44,overcast clouds
149,Ambilobe,MG,-13.2,49.05,72.03,95,95,2.55,overcast clouds
150,Pevek,RU,69.7008,170.3133,-5.91,87,100,1.21,overcast clouds
151,Tambopata,PE,-12.7333,-69.1833,61.43,64,99,3.44,overcast clouds
152,Luderitz,NA,-26.6481,15.1594,59.72,74,0,18.14,clear sky
153,Clyde River,CA,70.4692,-68.5914,10.63,92,100,6.91,overcast clouds
154,Nanortalik,GL,60.1432,-45.2371,34.32,89,99,3.29,overcast clouds
