City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Bengkulu,ID,79.72,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
132,Dingle,PH,82.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
135,San Pedro,PH,85.32,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
137,Butaritari,KI,82.26,few clouds,3.0707,172.7902,Isles Sunset Lodge
139,Daru,PG,82.74,overcast clouds,-9.0763,143.2092,Daru Lodge
140,Moussoro,TD,80.73,few clouds,13.6408,16.4901,Hôtel Salama
142,Safaga,EG,77.05,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
148,Nicoya,CR,82.04,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
163,Cubara,CO,77.45,overcast clouds,7.0008,-72.1085,Hotel Los Amigos
165,Mitsamiouli,KM,79.95,light rain,-11.3847,43.2844,Foyer ADM
166,Saint George,US,75.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
167,Laguna,US,77.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
170,Cabedelo,BR,79.88,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
171,Inirida,CO,77.27,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
174,Marsh Harbour,BS,76.68,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
189,Katherine,AU,86.32,clear sky,-14.4667,132.2667,Pine Tree Motel
191,Salvador,SV,75.6,few clouds,13.8333,-88.9167,Chico's Ranch
192,Bambous Virieux,MU,76.21,heavy intensity rain,-20.3428,57.7575,Casa Tia Villa
197,Qui Nhon,VN,77.85,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
210,Alofi,NU,81.07,light rain,-19.0595,-169.9187,Taloa Heights
217,Linguere,SN,77.05,clear sky,15.3953,-15.1193,AYO Casablanca
220,Kloulklubed,PW,82.33,broken clouds,7.0419,134.2556,Storyboard Beach Resort
221,Tual,ID,82.29,broken clouds,-5.6667,132.75,Grand Vilia Hotel
223,Bathsheba,BB,78.37,few clouds,13.2167,-59.5167,Atlantis Hotel
